"393","Mike K","213.575"
"394","MORGAN WITT","213.366"
"395","Patrick Lorenzo","212.731"
"396","Jeff Grubbs","212.712"
"397","Dan Tatem","212.393"
"398","Clayton Anderson","212.251"
"399","Jason Birrenkott","211.679"
"400","Adam Blackstone","211.670"
"401","Dakota Base","211.568"
"402","Brian Cisar","211.363"
"403","Justin Chechuck","210.726"
"404","Jeremy Standke","210.499"
"405","Steve Mitchell","210.342"
"406","Jason Baars","210.180"
"407","Mason Putman","209.529"
"408","Jeff Scobie","208.938"
"409","Gary Page","208.733"
"410","Casey Purdom","208.668"
"411","Larry Deese","207.848"
"412","David Henry","207.511"
"413","Clint Beacham","207.111"
"414","John Hutchinson","207.041"
"415","David Mayfield","206.821"
"416","Robert Segarra","206.110"
"417","Micah VanHorn","205.714"
"418","Ricky Woolever","205.093"
"419","Ross Kriegel","204.907"
"420","Benjamin Kruse","204.897"
"421","Chuck Case","204.847"
"422","Willie Whiteaker","204.525"
"423","Troy Lawton","203.957"
"424","james Bicknese","203.906"
"425","Patrick Murphree","203.311"
"426","Kris Haughian","202.948"
"427","Devin Griffith","202.880"
"428","Daniel Bokros","202.454"
"429","Bob Sanchez","202.232"
"430","mathew shear","201.918"
"431","Michael Manning","201.848"
"432","Jeff Naron","201.169"
"433","Kili Lilly","200.077"
"434","Trent Bubar","199.960"
"435","Rhett Ashton","199.828"
"436","Shawn Bonde","199.759"
"437","Steven Schoiber","199.373"
"438","Andrew Huey","198.828"
"439","Milan Prastalo","198.794"
"440","valentina lanotte","197.793"
"441","Austin Kyte","197.557"
"442","Joseph Salah","197.486"
"443","Andrew Walker","197.378"
"444","Sean Bolopue","197.305"
"445","Cory Gilbert","195.712"
"446","Tyler Beckley","195.429"
"447","Nick Fornicola","195.266"
"448","Andrew Hotton","194.981"
"449","Jeff Stieh","194.204"
"450","Rudolph Pyle","193.655"
"451","Michelle Kutcher","192.993"
"452","Matthew Trenkle","192.828"
"453","Brandon Korenek","192.619"
"454","Tanner Westlake","192.495"
"455","Mike Souza","191.896"
"456","Scott Pennebaker","191.857"
"457","Carter McFarland","191.787"
"458","Scott Carter","191.366"
"459","Jesse Skocic","190.072"
"460","Jeremy Prien","189.919"
"461","Daniel Bertocchini","189.902"
"462","Zachary Emmerson","188.620"
"463","Scott Peterson","188.467"
"464","Joseph Maynard","187.645"
"465","Olson Parker","186.175"
"466","Trevor Evans","186.041"
"467","Paul Kohler","185.593"
"468","Brenton Baer","185.232"
"469","Robert Aery","184.900"
"470","Eric Peterson","184.855"
"471","Vlad Mines","184.828"
"472","Jason Greene","184.376"
"473","Randall Nord","184.195"
"474","David Preston","184.077"
"475","Joshua Smith","181.760"
"476","Blake Whitham","181.744"
"477","John Alden","181.038"
"478","Billy Traxler","181.034"
"479","Jose Momongan","180.978"
"480","Shane Barnes","180.758"
"481","Brian Allen","180.489"
"482","Stephanie Mathiowetz","180.011"
"483","Doug Granito","179.866"
"484","Thomas Armistead","179.134"
"485","Wade Stuteville","179.107"
"486","Kohlton Clouser","178.995"
"487","Dan Wallace","178.919"
"488","Phillip Velayo","176.558"
"489","Adam Abu-dayyeh","174.861"
"490","Greg Zinn","174.849"
"491","Dane Lentz","172.677"
"492","Tanner Smith","172.104"
"493","Derek Stull","171.778"
"494","Andy Hawkins","170.771"
"495","Raymond Murff","170.661"
"496","William Ruckman","170.500"
"497","Greg Nagy","170.199"
"498","Jacob Denny","170.194"
"499","Ammar Bazzaz","169.733"
"500","River Curtis","169.145"
"501","JB Eanes","169.141"
"502","Benson RedStar","168.989"
"503","Jeremy Von Glahn","168.188"
"504","Andrij Sulypka","168.124"
"505","Zach Stamm","167.539"
"506","tom buller","167.339"
"507","Jon Mills","167.138"
"508","Sam Trevino","167.117"
"509","Jake Graves","166.617"
"510","Joshua Speer","166.080"
"511","Paul Dallin","165.916"
"512","Estelle Boon","165.864"
"513","Michael Thomas","165.453"
"514","Adam Palmeri","165.324"
"515","Matt Radford","165.130"
"516","Justin Redd","164.704"
"517","Austin Clark","164.149"
"518","Hunter  Simonton","164.021"
"519","Clint Eubanks","163.994"
"520","Daniel Brister","163.924"
"521","Kevin Unnerstall","162.632"
"522","Justin Harrell","162.519"
"523","Tim Yoder","162.458"
"524","Andrew Fischer","162.077"
"525","Sam Phelps","161.692"
"526","Herb Ludlam","161.526"
"527","Runar Jonsson","161.464"
"528","Oliver Pentinmaki","161.347"
"529","Mark Miller","161.137"
"530","Jody Weigle","160.761"
"531","Matthew Hays","160.742"
"532","Chris Baxter","160.380"
"533","Shawn Blair","160.080"
"534","Daniel Cogan","159.935"
"535","Joey McConnell","159.389"
"536","Jonathan Nelson","159.218"
"537","Greg Glass","159.017"
"538","Daniel  Poliquin","158.873"
"539","Austin Lange","158.706"
"540","Alan Neeley","158.559"
"541","Ja Hymer","158.504"
"542","Adam Stultz","158.438"
"543","Kurt Hinkes","158.437"
"544","Shad Kimbrell","158.232"
"545","Reese Thompson","158.182"
"546","Colton Hahn","158.021"
"547","Jaden Miller","157.949"
"548","Clark Rab","157.815"
"549","JAD SUTTON","157.719"
"550","Brandon Estep","157.113"
"551","Kyle Phillips","156.949"
"552","Ryan McHugh","156.676"
"553","Justin Watts","156.536"
"554","Kyle Ferguson","156.446"
"555","JAMES COWHY","155.965"
"556","Travis conwell","155.377"
"557","Austin Henigan","155.370"
"558","Trevor Hoffman","155.337"
"559","Scott L  Rushing","155.162"
"560","Rene Mertes","154.947"
"561","Kurtis Palu","154.689"
"562","Brandon Jennings","153.879"
"563","Seth Higgins","153.852"
"564","Colin Elmore","153.774"
"565","David Cantu","153.714"
"566","Anthony Shaw","153.494"
"567","Daniel Sherbert","152.913"
"568","Scott Shreve","151.945"
"569","Lance Garmon","151.778"
"570","Tyler Holmes","151.623"
"571","Matthew Diffenderfer","151.239"
"572","Huy Cao","150.924"
"573","Nick Depperschmidt","150.623"
"574","Colt Soppit","150.566"
"575","Matt Clark","150.553"
"576","Ben Martinez","149.983"
"577","Whitney Saunders","149.956"
"578","Samuel Santiago","149.754"
"579","Kevin Horsley","149.706"
"580","Tayler Hawkins","149.624"
"581","Jeff Winn","149.453"
"582","John Blichmann","149.363"
"583","Timo Turl","148.777"
"584","RICARDO REYES","148.048"
"585","James Karchut","147.656"
"586","Cody Hartsock","147.176"
"587","Lee Stebar","147.006"
"588","Adi Khindaria","146.841"
"589","Tim Miller","146.827"
"590","Rob Chorzepa","146.774"
"591","Dylan Todd","146.619"
"592","Byron Kramer","146.446"
"593","Robert DePianta","146.397"
"594","James Reynolds","145.878"
"595","Todd Treybal","145.656"
"596","Joshua Critelli","145.586"
"597","Marchand Hovrud","145.054"
"598","Justin Landrum","145.046"
"599","Eli Brewer","144.381"
"600","Steve Shaver","144.207"
"601","Randall Ames","144.036"
"602","Loni Wilson","143.016"
"603","Chase Ufkes","142.626"
"604","Dan Phifer","142.095"
"605","Ryan Shipes","141.997"
"606","Jabari Jenkins","141.516"
"607","Mitchell Wong","141.065"
"608","Taylor Kojis","141.040"
"609","Kurt McBride","139.668"
"610","Hilton Motley","139.129"
"611","Adam Ruen","139.036"
"612","Brandon Weis","138.643"
"613","James Breaux","138.561"
"614","Deborah Gaumond","138.338"
"615","Lucas Smith","138.220"
"616","Justin Daniels","137.900"
"617","Alan Smith","137.828"
"618","Chris Hoffstetter","137.784"
"619","Anthony Milano","137.467"
"620","Michael Luccio","137.032"
"621","ryell masood","136.296"
"622","Craig Trottier","136.023"
"623","Jimmy Durham","135.754"
"624","Nick Metzler","134.750"
"625","Corey Bolt","134.722"
"626","Rylan M","134.052"
"627","Jason Bockelman","133.980"
"628","Jamie Wise","133.539"
"629","Sloan Valdez","132.832"
"630","Akil Walker","132.570"
"631","Joseph Telford","132.156"
"632","Matthew O&#39;Neal","131.551"
"633","David Unnerstall","131.145"
"634","Melissa Gilliland","131.059"
"635","Adam Hunt","130.785"
"636","Minos Lam","129.826"
"637","Dalton Kates","129.722"
"638","Andy McCulloch","129.445"
"639","Rick Nedelisky","129.293"
"640","Bart Beasley","128.971"
"641","Dustin Miller","127.805"
"642","Greg Herbert","127.715"
"643","Brandon Sauer","126.817"
"644","Cody Bradshaw","126.777"
"645","Devin Tarrant","126.774"
"646","DUSTIN HELTEN","126.694"
"647","Kenneth Hux","126.149"
"648","Dale Averkamp","125.853"
"649","Ted Snodgrass","125.848"
"650","Ben Smith","125.317"
"651","Taylor Crabtree","125.222"
"652","Adam Weinstein","125.149"
"653","Charles Roberts","125.020"
"654","Steve Curry","123.193"
"655","Neil Davies","122.863"
"656","Eric Nguyen","122.280"
"657","Dalton Shatswell","121.796"
"658","Jeff Weis","121.603"
"659","Stefanie Burdick","121.146"
"660","Nicholas  Wade","119.834"
"661","Riley Stewart","119.714"
"662","Grant Roper","119.641"
"663","Amar Ollero","119.355"
"664","Dwayne Fales","119.201"
"665","Adam Eischeid","118.736"
"666","Scott McFarlane Jr","118.138"
"667","Joel Schneider","118.090"
"668","Richie Mac","117.921"
"669","Bart Bailey","117.608"
"670","Zach Schneider","117.425"
"671","Michael Moore","117.204"
"672","Bryan Yeung","116.248"
"673","Devon St Cyr","116.057"
"674","Shannon Meredith","115.968"
"675","Wyatt Huffman","115.806"
"676","Jeff Gosney","115.777"
"677","Erik Zadow","115.757"
"678","Jesse Wilson","115.544"
"679","Ryan Allison","115.383"
"680","Austin Diggs","114.083"
"681","Daniel Bishop","113.613"
"682","Keith Lane","113.295"
"683","Jeremy Thiel","112.550"
"684","Mark Phillips","112.232"
"685","Captare Swafford","111.641"
"686","Symon Teasdale","111.090"
"687","Luke Houghton","110.879"
"688","Patrick Seader","110.155"
"689","Chris Maerki","109.962"
"690","John Wise","109.512"
"691","Nick Buchanan","109.171"
"692","George Gardner","106.943"
"693","Les Dunn","104.730"
"694","Rich Whipple","104.634"
"695","Luke Crawford","102.946"
"696","Jose Enrique Calabuig Felipe","100.000"
"696","Sindre Nyland","100.000"
"698","Douglas Foster","99.878"
"699","Mason Bafus","99.505"
"700","Daniel Gibbons","99.371"
"701","Tom MOUGEL","99.265"
"702","Andrew Harris","99.143"
"703","Nate Kielts","99.044"
"704","Oscar järvi","98.235"
"705","Matt Fralin","98.193"
"706","Chuck Langlois","97.536"
"707","Neal Moor","96.838"
"708","Brayden Witt","96.335"
"709","Rory Gibbons","95.597"
"710","Jw Gwartney","95.207"
"711","Ryder Base","94.749"
"712","Arthur Berube","94.371"
"713","Juraj Cermak","92.903"
"714","Jeff Schulz","92.818"
"715","Scott Parks","92.667"
"716","Ryan Harrod","91.192"
"717","Otar Kishinski","90.909"
"718","Steve Mc","90.244"
"719","Joe Pask","89.937"
"720","Bret Muller","89.560"
"721","Martien Knoops","89.308"
"722","Thomas Horn","89.298"
"723","Grant Wood","88.827"
"724","JOSHUA FLOWERS","87.758"
"725","COMBAZ Gilles","87.097"
"726","Wyatt Magnan","86.585"
"727","KENNETH PARKER","86.538"
"728","Hans Fredrik Vatnedal","86.471"
"729","Bjørn Sørland","86.364"
"730","Ji Zhang","86.155"
"731","Tracey Smith","85.976"
"732","Adam Tobias","85.143"
"733","Phil Cashin","84.746"
"734","Xavier Mareuil","84.516"
"734","Vincent Muehlleitner","84.516"
"736","Matt LaVine","84.000"
"736","David Christensen","84.000"
"738","Caleb Purinton","83.938"
"739","zongxuan li","82.850"
"740","Clint Dosser","82.723"
"741","Michael Mead","82.384"
"742","Joshua Huttunen","82.286"
"743","Arick Souvanna","82.199"
"744","Tom Fuller","81.977"
"745","Tereza Toman Helštýnová","81.935"
"746","Brett Williams","81.865"
"747","Jakub Janousek","81.818"
"748","Clayton Thomas","81.347"
"749","Dave Gundry","81.333"
"750","Oengus Harding Smith","81.132"
"751","Shelby Case","81.098"
"752","CLAY WEBSTER","81.081"
"753","Adam  Mathews","80.226"
"754","Garet Earles","80.105"
"755","Arvind Thube","80.000"
"756","Lance Echols","79.058"
"757","Rylan Creedon","78.889"
"758","Jon Kimball","78.836"
"759","Johan Lindberg","78.824"
"760","Bradley Ash","78.756"
"761","Jens Bramming","78.571"
"762","Christopher Smithhart","78.378"
"763","Ray LaBonte","78.333"
"764","Dennis Crafton","78.017"
"765","Michael Mourer","78.010"
"766","Nate Cloud","77.654"
"766","Chris Cash","77.654"
"768","Nate Savage","77.457"
"769","Kristian Knudtzon Gundersen","77.273"
"770","Buck Serres","77.143"
"771","Karl Hesser","76.761"
"772","EDDIE FOSNAUGH","76.374"
"772","Matt Woody","76.374"
"774","Tyler Pittman","75.824"
"775","Scott Spagnolo-Hye","75.779"
"776","Emma Kutscher","75.556"
"777","Jason Land","75.429"
"778","Richard Pettis","75.393"
"779","Joe Boni","75.301"
"780","Šarūnas Brundza","75.100"
"781","Stewart Robbins","75.000"
"782","Clyde Vetter","74.869"
"782","John Becker","74.869"
"784","Steven Daniels","74.857"
"784","Michael Draeger","74.857"
"784","Gianni Pucillo","74.857"
"787","Daniel Bartels","74.676"
"788","Steffen Gschwind","74.675"
"789","Jose Arroyo","74.650"
"790","Joe Loehle","74.611"
"791","Preston Lentfer","74.522"
"792","David Hall","74.419"
"793","Mark Sweatt","74.346"
"794","Eric Johnson","74.286"
"795","Javier Nieto Santos","74.265"
"796","Raymond Worthington","73.714"
"797","woody satayabut","73.575"
"798","Ben Mcilwaine","73.494"
"799","David Nellans","73.298"
"800","Jeffrey E. Abraham","73.143"
"801","Jacque Bracewell","73.057"
"802","Trevor Oestreich","72.727"
"803","Jerrell Powell","72.674"
"804","Takashi Nakachi","72.605"
"805","Jerry Snyder","72.598"
"806","Pat Moore","72.093"
"807","Rene Ardoin","71.978"
"808","Kyle Marsh","71.351"
"809","Hans Van der Veken","71.176"
"810","Douglas Moretz","71.111"
"811","Kip McLaughlin","71.084"
"812","Jeremy Knutson","70.950"
"813","Chris Parsons","70.701"
"814","Jeremy Henner","70.681"
"815","James Sewell","70.440"
"816","Alex Kubiak","70.225"
"817","Bob Dana","70.157"
"818","Jeffrey Wludyka","70.122"
"819","Matthew Truelove","70.000"
"820","Craig Peterson","69.771"
"821","David Re","69.634"
"822","Jake Christiansen","69.312"
"823","Will Rohrig","69.274"
"824","kevin wong","69.143"
"825","Brenden Cuni","69.081"
"826","sebastien gachet-mauroz","69.032"
"827","Etienne Vachon","68.902"
"828","Paul Higley","68.783"
"829","Justin Bilodeau","68.571"
"830","Roger Curry","68.108"
"831","Daniel Phipps","68.063"
"832","Adam Morris","67.797"
"833","Richard Dyess","67.457"
"834","Luke Holway","67.380"
"835","Jeff Curley","67.296"
"836","Joe Gurule","67.222"
"837","Bryan Sikes","67.059"
"838","Chase Lamb","66.839"
"839","Scott German","66.486"
"840","Michael Beemer","66.471"
"841","chris richards","66.463"
"842","Brandon Massey","66.321"
"843","Cédric VIDONI","66.234"
"844","david soria ruiz","66.176"
"845","Kyle Lamb","65.969"
"846","Simon Stenødegård","65.462"
"847","Steve Roper","64.922"
"848","Justin Ash","64.767"
"849","Connor Skelonc","64.607"
"850","Jason Lee","64.246"
"851","Matthew Ritchie","64.118"
